State,County,Year,EV_Count,Population,Charging_Station_Sites,Charging_Ports,DC_Fast_Ports,Level2_Ports,EV_per_Station,EV_per_Port,Stations_per_10k_People,Ports_per_10k_People,EV_per_10k_People
CO,DOUGLAS,2023,136276.0,384579.0,48.0,136.0,33.0,103.0,2839.0833333333335,1002.0294117647059,1.2481180719696083,3.5363345372472237,3543.5112161610487
CO,DOUGLAS,2024,226206.0,393051.0,57.0,162.0,38.0,124.0,3968.5263157894738,1396.3333333333333,1.4501934863414672,4.1216025401283805,5755.131013532595
CO,EAGLE,2020,4142.0,55657.0,32.0,69.0,6.0,63.0,129.4375,60.028985507246375,5.749501410424564,12.397362416227969,744.2010888118295
CO,EAGLE,2021,5943.0,55786.0,50.0,109.0,16.0,93.0,118.86,54.522935779816514,8.962822213458574,19.53895242533969,1065.321048291686
CO,EAGLE,2022,9246.0,55347.0,70.0,149.0,22.0,127.0,132.0857142857143,62.053691275167786,12.64747863479502,26.92106166549226,1670.5512493902108
CO,EAGLE,2023,13344.0,54807.0,86.0,182.0,27.0,155.0,155.1627906976744,73.31868131868131,15.691426277665261,33.20743700622183,2434.7254912693634
CO,EAGLE,2024,17774.0,54635.0,111.0,242.0,35.0,207.0,160.12612612612614,73.44628099173553,20.31664683810744,44.29395076416217,3253.225954058754
CO,EL PASO,2020,29180.0,733721.0,25.0,66.0,15.0,51.0,1167.2,442.1212121212121,0.34072896918583495,0.8995244786506043,397.6988528337065
CO,EL PASO,2021,48504.0,738405.0,36.0,94.0,25.0,69.0,1347.3333333333333,516.0,0.48753732707660435,1.2730141318111334,656.8752920145448
CO,EL PASO,2022,73362.0,741819.0,54.0,139.0,35.0,104.0,1358.5555555555557,527.7841726618705,0.7279403735951762,1.8737724431431386,988.9474386609133
CO,EL PASO,2023,107776.0,745819.0,75.0,187.0,54.0,133.0,1437.0133333333333,576.3422459893048,1.005605917789705,2.5073107550223313,1445.0691119427102
CO,EL PASO,2024,169587.0,752356.0,92.0,224.0,61.0,163.0,1843.3369565217392,757.0848214285714,1.222825364588041,2.977313931170882,2254.079185917305
CO,ELBERT,2020,813.0,26211.0,0.0,0.0,0.0,0.0,,,0.0,0.0,310.17511731715695
CO,ELBERT,2021,1209.0,27164.0,0.0,0.0,0.0,0.0,,,0.0,0.0,445.074363127669
CO,ELBERT,2022,1884.0,27844.0,0.0,0.0,0.0,0.0,,,0.0,0.0,676.6269214193363
CO,ELBERT,2023,2804.0,28820.0,2.0,4.0,0.0,4.0,1402.0,701.0,0.6939625260235948,1.3879250520471895,972.9354614850798
CO,ELBERT,2024,4464.0,29344.0,2.0,4.0,0.0,4.0,2232.0,1116.0,0.6815703380588877,1.3631406761177753,1521.2649945474375
CO,FREMONT,2020,455.0,48880.0,0.0,0.0,0.0,0.0,,,0.0,0.0,93.08510638297872
CO,FREMONT,2021,870.0,49212.0,0.0,0.0,0.0,0.0,,,0.0,0.0,176.78614971958058
CO,FREMONT,2022,1374.0,49544.0,2.0,2.0,2.0,0.0,687.0,687.0,0.40368157597287263,0.40368157597287263,277.3292426933635
CO,FREMONT,2023,2225.0,50315.0,5.0,6.0,4.0,2.0,445.0,370.8333333333333,0.9937394415184339,1.1924873298221208,442.21405147570306
CO,FREMONT,2024,3341.0,50004.0,7.0,9.0,7.0,2.0,477.2857142857143,371.22222222222223,1.3998880089592831,1.7998560115190785,668.1465482761379
CO,GARFIELD,2020,3533.0,61793.0,23.0,52.0,11.0,41.0,153.6086956521739,67.9423076923077,3.7221044454873526,8.415192659362711,571.7476089524704
CO,GARFIELD,2021,5256.0,62122.0,28.0,62.0,11.0,51.0,187.71428571428572,84.7741935483871,4.507259907923119,9.980361224686908,846.0770741444255
CO,GARFIELD,2022,7531.0,62458.0,31.0,78.0,23.0,55.0,242.93548387096774,96.55128205128206,4.9633353613628355,12.488392199558104,1205.770277626565
CO,GARFIELD,2023,10783.0,63215.0,45.0,100.0,31.0,69.0,239.62222222222223,107.83,7.118563632049355,15.819030293443012,1705.76603654196
CO,GARFIELD,2024,16211.0,63820.0,61.0,144.0,43.0,101.0,265.75409836065575,112.57638888888889,9.558132246944531,22.56345973049201,2540.1128172986528
CO,GILPIN,2020,428.0,5817.0,1.0,3.0,0.0,3.0,428.0,142.66666666666666,1.7190991920233798,5.15729757607014,735.7744541860066
CO,GILPIN,2021,546.0,5891.0,1.0,3.0,0.0,3.0,546.0,182.0,1.6975046681378374,5.092514004413513,926.8375488032592
CO,GILPIN,2022,968.0,5898.0,3.0,7.0,0.0,7.0,322.6666666666667,138.28571428571428,5.08646998982706,11.86842997626314,1641.2343167175313
CO,GILPIN,2023,1303.0,5899.0,3.0,7.0,0.0,7.0,434.3333333333333,186.14285714285714,5.0856077301237494,11.866418036955416,2208.848957450415
CO,GILPIN,2024,1953.0,5955.0,15.0,53.0,0.0,53.0,130.2,36.84905660377358,25.188916876574307,89.00083963056255,3279.596977329975
CO,GRAND,2020,899.0,15748.0,8.0,21.0,9.0,12.0,112.375,42.80952380952381,5.080010160020319,13.33502667005334,570.8661417322835
CO,GRAND,2021,1229.0,15858.0,10.0,23.0,11.0,12.0,122.9,53.43478260869565,6.305965443309371,14.503720519611553,775.0031529827218
CO,GRAND,2022,1860.0,15781.0,13.0,39.0,11.0,28.0,143.07692307692307,47.69230769230769,8.237754261453647,24.71326278436094,1178.6325327925986
CO,GRAND,2023,2815.0,16051.0,17.0,52.0,14.0,38.0,165.58823529411765,54.13461538461539,10.59124042115756,32.396735405893715,1753.7848109152076
CO,GRAND,2024,4267.0,16283.0,18.0,54.0,14.0,40.0,237.05555555555554,79.01851851851852,11.054473991279249,33.16342197383774,2620.5244733771415
CO,GUNNISON,2020,677.0,16950.0,8.0,27.0,1.0,26.0,84.625,25.074074074074073,4.71976401179941,15.92920353982301,399.41002949852503
CO,GUNNISON,2021,1076.0,17291.0,12.0,35.0,1.0,34.0,89.66666666666667,30.742857142857144,6.940026603435314,20.241744260019665,622.289052108033
CO,GUNNISON,2022,1617.0,17324.0,17.0,44.0,2.0,42.0,95.11764705882354,36.75,9.81297621796352,25.398291387670284,933.3872084968829
CO,GUNNISON,2023,2136.0,17359.0,18.0,46.0,2.0,44.0,118.66666666666667,46.43478260869565,10.3692609021257,26.49922230543234,1230.4856270522496
CO,GUNNISON,2024,2999.0,17407.0,22.0,52.0,4.0,48.0,136.3181818181818,57.67307692307692,12.638593669213535,29.873039581777448,1722.8701097259725
CO,HINSDALE,2020,15.0,789.0,2.0,3.0,1.0,2.0,7.5,5.0,25.348542458808616,38.02281368821293,190.11406844106463
CO,HINSDALE,2021,0.0,789.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
CO,HINSDALE,2022,24.0,774.0,2.0,3.0,1.0,2.0,12.0,8.0,25.839793281653748,38.75968992248062,310.07751937984494
CO,HINSDALE,2023,46.0,768.0,3.0,5.0,1.0,4.0,15.333333333333334,9.2,39.0625,65.10416666666667,598.9583333333334
CO,HINSDALE,2024,52.0,753.0,3.0,5.0,1.0,4.0,17.333333333333332,10.4,39.8406374501992,66.40106241699867,690.5710491367861
CO,HUERFANO,2020,62.0,6824.0,1.0,2.0,0.0,2.0,62.0,31.0,1.4654161781946071,2.9308323563892142,90.85580304806565
